Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK
2003,01/11/2023,4.7,309,20,NON_EURO,5.5,2200,0.854545455,0.140454545,<2010,0.2,-0.029090909,-0.171909091,TRUE
2003,08/09/2023,1.67,1661,20,NON_EURO,5.5,2200,0.303636364,0.755,<2010,0.2,-0.139272727,-0.049,TRUE
2003,28/10/2023,0,32,20,NON_EURO,5.5,2200,0,0.014545455,<2010,0.2,-0.2,-0.197090909,TRUE
2003,29/08/2023,1.26,1244,20,NON_EURO,5.5,2200,0.229090909,0.565454545,<2010,0.2,-0.154181818,-0.086909091,TRUE
2003,16/10/2023,8.18,801,20,NON_EURO,5.5,2200,1.487272727,0.364090909,<2010,0.2,0.097454545,-0.127181818,FALSE
2003,31/08/2023,2.34,314,20,NON_EURO,5.5,2200,0.425454545,0.142727273,<2010,0.2,-0.114909091,-0.171454545,TRUE
2003,10/09/2023,0.74,162,20,NON_EURO,5.5,2200,0.134545455,0.073636364,<2010,0.2,-0.173090909,-0.185272727,TRUE
2003,22/09/2023,1.13,319,20,NON_EURO,5.5,2200,0.205454545,0.145,<2010,0.2,-0.158909091,-0.171,TRUE
2003,28/10/2023,5.45,1750,20,NON_EURO,5.5,2200,0.990909091,0.795454545,<2010,0.2,-0.001818182,-0.040909091,TRUE
2003,09/10/2023,1.65,781,20,NON_EURO,5.5,2200,0.3,0.355,<2010,0.2,-0.14,-0.129,TRUE
2003,15/05/2024,8.98,3260,21,NON_EURO,5.5,2200,1.632727273,1.481818182,<2010,0.2,0.126545455,0.096363636,FALSE
2003,05/09/2023,4.81,1554,20,NON_EURO,5.5,2200,0.874545455,0.706363636,<2010,0.2,-0.025090909,-0.058727273,TRUE
2003,05/06/2023,3.37,358,20,NON_EURO,5.5,2200,0.612727273,0.162727273,<2010,0.2,-0.077454545,-0.167454545,TRUE
2003,21/09/2023,0.66,85,20,NON_EURO,5.5,2200,0.12,0.038636364,<2010,0.2,-0.176,-0.192272727,TRUE
2003,02/09/2023,0,9999,20,NON_EURO,5.5,2200,0,4.545,<2010,0.2,-0.2,0.709,FALSE
