Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
08/10/2015,M,C,D4,Solar,2013,Diesel,2700,12.4,34456,37.4,2015,2,40,0.935,2010-2021,EURO2,0.3,-0.0195,TRUE
08/10/2015,M,C,D2,Solar,2013,Diesel,2500,2.5,48201,55.6,2015,2,40,1.39,2010-2021,EURO2,0.3,0.117,FALSE
03/05/2017,M,C,D2,Solar,2013,Diesel,4000,3,83111,23.1,2017,4,40,0.5775,2010-2021,EURO2,0.3,-0.12675,TRUE
18/05/2017,M,C,D4,Solar,2013,Diesel,3300,33,33645,23,2017,4,40,0.575,2010-2021,EURO2,0.3,-0.1275,TRUE
07/09/2023 00:00,,C,,,2013,,,,,31,,10,40,0.775,2010-2021,EURO2,0.3,-0.0675,TRUE
06/10/2023 00:00,,C,,,2013,,,,,39.3,,10,40,0.9825,2010-2021,EURO2,0.3,-0.00525,TRUE
22/01/2024 00:00,,C,,,2013,,,,,25,,11,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
04/09/2023 00:00,,C,,,2013,,,,,4,,10,40,0.1,2010-2021,EURO2,0.3,-0.27,TRUE
17/05/2017,M,C,D4,Solar,2013,Diesel,4000,45,80844,69.2,2017,4,40,1.73,2010-2021,EURO2,0.3,0.219,FALSE
22/11/2023 00:00,,C,,,2013,,,,,36.4,,10,40,0.91,2010-2021,EURO2,0.3,-0.027,TRUE
08/09/2023 00:00,,C,,,2013,,,,,13,,10,40,0.325,2010-2021,EURO2,0.3,-0.2025,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,3400,3,2535,44,2015,2,40,1.1,2010-2021,EURO2,0.3,0.03,FALSE
06/09/2023 00:00,,C,,,2013,,,,,5,,10,40,0.125,2010-2021,EURO2,0.3,-0.2625,TRUE
15/11/2023 00:00,,C,,,2013,,,,,19.3,,10,40,0.4825,2010-2021,EURO2,0.3,-0.15525,TRUE
13/08/2024 00:00,,C,,,2013,,,,,21.6,,11,40,0.54,2010-2021,EURO2,0.3,-0.138,TRUE
21/10/2023 00:00,,C,,,2013,,,,,15.1,,10,40,0.3775,2010-2021,EURO2,0.3,-0.18675,TRUE
05/09/2023 00:00,,C,,,2013,,,,,26,,10,40,0.65,2010-2021,EURO2,0.3,-0.105,TRUE
23/09/2023 00:00,,C,,,2013,,,,,26,,10,40,0.65,2010-2021,EURO2,0.3,-0.105,TRUE
17/06/2023 00:00,,C,,,2013,,,,,20.04,,10,40,0.501,2010-2021,EURO2,0.3,-0.1497,TRUE
09/06/2023 00:00,,C,,,2013,,,,,15,,10,40,0.375,2010-2021,EURO2,0.3,-0.1875,TRUE
22/02/2024 00:00,,C,,,2013,,,,,22.2,,11,40,0.555,2010-2021,EURO2,0.3,-0.1335,TRUE
17/10/2023 00:00,,C,,,2013,,,,,27.1,,10,40,0.6775,2010-2021,EURO2,0.3,-0.09675,TRUE
18/05/2016,M,C,D2,Solar,2013,Diesel,4000,3.5,23491,85.4,2016,3,40,2.135,2010-2021,EURO2,0.3,0.3405,FALSE
05/06/2023 00:00,,C,,,2013,,,,,16,,10,40,0.4,2010-2021,EURO2,0.3,-0.18,TRUE
27/10/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
06/10/2015,M,C,D2,Solar,2013,Diesel,2500,3,87791,10.2,2015,2,40,0.255,2010-2021,EURO2,0.3,-0.2235,TRUE
18/05/2016,M,C,D2,Solar,2013,Diesel,2700,3.5,8001,51.2,2016,3,40,1.28,2010-2021,EURO2,0.3,0.084,FALSE
01/12/2023 00:00,,C,,,2013,,,,,6.25,,10,40,0.15625,2010-2021,EURO2,0.3,-0.253125,TRUE
29/08/2024 00:00,,C,,,2013,,,,,10.3,,11,40,0.2575,2010-2021,EURO2,0.3,-0.22275,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,2500,3,99720,19.7,2015,2,40,0.4925,2010-2021,EURO2,0.3,-0.15225,TRUE
18/11/2014,M,C,D2,Solar,2013,Diesel,2500,2,5010,18,2014,1,40,0.45,2010-2021,EURO2,0.3,-0.165,TRUE
19/09/2013,M,C,D2,Solar,2013,Diesel,2800,1,8468,26.1,2013,0,40,0.6525,2010-2021,EURO2,0.3,-0.10425,TRUE
09/10/2023 00:00,,C,,,2013,,,,,16,,10,40,0.4,2010-2021,EURO2,0.3,-0.18,TRUE
21/05/2014,M,C,D4,Solar,2013,Diesel,2500,1000,74980,93.1,2014,1,40,2.3275,2010-2021,EURO2,0.3,0.39825,FALSE
08/10/2015,M,C,D2,Solar,2013,Diesel,3400,3,222465,32.2,2015,2,40,0.805,2010-2021,EURO2,0.3,-0.0585,TRUE
15/02/2023 00:00,,C,,,2013,,,,,26,,10,40,0.65,2010-2021,EURO2,0.3,-0.105,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,3400,3,1021,66.2,2015,2,40,1.655,2010-2021,EURO2,0.3,0.1965,FALSE
26/08/2024 00:00,,C,,,2013,,,,,25,,11,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
30/11/2023 00:00,,C,,,2013,,,,,15.9,,10,40,0.3975,2010-2021,EURO2,0.3,-0.18075,TRUE
02/05/2017,M,C,D2,Solar,2013,Diesel,2500,3,489611,56.2,2017,4,40,1.405,2010-2021,EURO2,0.3,0.1215,FALSE
02/12/2023 00:00,,C,,,2013,,,,,17.4,,10,40,0.435,2010-2021,EURO2,0.3,-0.1695,TRUE
27/04/2016,M,C,D2,Solar,2013,Diesel,2500,3,43807,20.3,2016,3,40,0.5075,2010-2021,EURO2,0.3,-0.14775,TRUE
06/10/2015,M,C,D2,Solar,2013,Diesel,3500,3,3897,32.1,2015,2,40,0.8025,2010-2021,EURO2,0.3,-0.05925,TRUE
25/02/2025 00:00,,C,,,2013,,,,,18.9,,12,40,0.4725,2010-2021,EURO2,0.3,-0.15825,TRUE
01/09/2023 00:00,,C,,,2013,,,,,32,,10,40,0.8,2010-2021,EURO2,0.3,-0.06,TRUE
16/01/2024 00:00,,C,,,2013,,,,,28,,11,40,0.7,2010-2021,EURO2,0.3,-0.09,TRUE
29/08/2023 00:00,,C,,,2013,,,,,3.7,,10,40,0.0925,2010-2021,EURO2,0.3,-0.27225,TRUE
01/08/2023 00:00,,C,,,2013,,,,,36.1,,10,40,0.9025,2010-2021,EURO2,0.3,-0.02925,TRUE
06/04/2024 00:00,,C,,,2013,,,,,15.2,,11,40,0.38,2010-2021,EURO2,0.3,-0.186,TRUE
23/10/2023 00:00,,C,,,2013,,,,,37.8,,10,40,0.945,2010-2021,EURO2,0.3,-0.0165,TRUE
08/03/2023 00:00,,C,,,2013,,,,,14.9,,10,40,0.3725,2010-2021,EURO2,0.3,-0.18825,TRUE
31/08/2023 00:00,,C,,,2013,,,,,39,,10,40,0.975,2010-2021,EURO2,0.3,-0.0075,TRUE
26/01/2023 00:00,,C,,,2013,,,,,37.2,,10,40,0.93,2010-2021,EURO2,0.3,-0.021,TRUE
03/11/2023 00:00,,C,,,2013,,,,,2.3,,10,40,0.0575,2010-2021,EURO2,0.3,-0.28275,TRUE
28/04/2016,M,C,D2,Solar,2013,Diesel,3000,3,139661,29.3,2016,3,40,0.7325,2010-2021,EURO2,0.3,-0.08025,TRUE
17/09/2013,M,C,D2,Solar,2013,Diesel,3300,1,3525,63.3,2013,0,40,1.5825,2010-2021,EURO2,0.3,0.17475,FALSE
06/12/2023 00:00,,C,,,2013,,,,,28,,10,40,0.7,2010-2021,EURO2,0.3,-0.09,TRUE
11/09/2023 00:00,,C,,,2013,,,,,37,,10,40,0.925,2010-2021,EURO2,0.3,-0.0225,TRUE
06/10/2015,M,C,D2,Solar,2013,Diesel,4000,3,36211,39.3,2015,2,40,0.9825,2010-2021,EURO2,0.3,-0.00525,TRUE
18/05/2016,M,C,D2,Solar,2013,Diesel,2700,3.5,25637,55.9,2016,3,40,1.3975,2010-2021,EURO2,0.3,0.11925,FALSE
13/09/2023 00:00,,C,,,2013,,,,,27.8,,10,40,0.695,2010-2021,EURO2,0.3,-0.0915,TRUE
13/03/2023 00:00,,C,,,2013,,,,,36.6,,10,40,0.915,2010-2021,EURO2,0.3,-0.0255,TRUE
15/08/2024 00:00,,C,,,2013,,,,,35,,11,40,0.875,2010-2021,EURO2,0.3,-0.0375,TRUE
17/10/2023 00:00,,C,,,2013,,,,,12.86,,10,40,0.3215,2010-2021,EURO2,0.3,-0.20355,TRUE
25/01/2023 00:00,,C,,,2013,,,,,22,,10,40,0.55,2010-2021,EURO2,0.3,-0.135,TRUE
06/10/2023 00:00,,C,,,2013,,,,,32.67,,10,40,0.81675,2010-2021,EURO2,0.3,-0.054975,TRUE
16/05/2017,M,C,D4,Solar,2013,Diesel,3500,35,106541,80.2,2017,4,40,2.005,2010-2021,EURO2,0.3,0.3015,FALSE
17/06/2023 00:00,,C,,,2013,,,,,26,,10,40,0.65,2010-2021,EURO2,0.3,-0.105,TRUE
27/04/2016,M,C,D2,Solar,2013,Diesel,3000,3,49938,10.6,2016,3,40,0.265,2010-2021,EURO2,0.3,-0.2205,TRUE
21/10/2024 00:00,,C,,,2013,,,,,32,,11,40,0.8,2010-2021,EURO2,0.3,-0.06,TRUE
23/04/2024 00:00,,C,,,2013,,,,,33.3,,11,40,0.8325,2010-2021,EURO2,0.3,-0.05025,TRUE
22/12/2023 00:00,,C,,,2013,,,,,24.3,,10,40,0.6075,2010-2021,EURO2,0.3,-0.11775,TRUE
31/08/2023 00:00,,C,,,2013,,,,,37.4,,10,40,0.935,2010-2021,EURO2,0.3,-0.0195,TRUE
06/08/2024 00:00,,C,,,2013,,,,,28,,11,40,0.7,2010-2021,EURO2,0.3,-0.09,TRUE
27/04/2016,M,C,D2,Solar,2013,Diesel,3000,3,41096,85.5,2016,3,40,2.1375,2010-2021,EURO2,0.3,0.34125,FALSE
25/11/2023 00:00,,C,,,2013,,,,,19.7,,10,40,0.4925,2010-2021,EURO2,0.3,-0.15225,TRUE
02/11/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
05/03/2024 00:00,,C,,,2013,,,,,30,,11,40,0.75,2010-2021,EURO2,0.3,-0.075,TRUE
09/10/2024 00:00,,C,,,2013,,,,,20,,11,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
05/09/2023 00:00,,C,,,2013,,,,,18.65,,10,40,0.46625,2010-2021,EURO2,0.3,-0.160125,TRUE
18/09/2013,M,C,D2,Solar,2013,Diesel,2500,1,9594,89,2013,0,40,2.225,2010-2021,EURO2,0.3,0.3675,FALSE
02/12/2023 00:00,,C,,,2013,,,,,33,,10,40,0.825,2010-2021,EURO2,0.3,-0.0525,TRUE
26/06/2023 00:00,,C,,,2013,,,,,19,,10,40,0.475,2010-2021,EURO2,0.3,-0.1575,TRUE
01/11/2024 00:00,,C,,,2013,,,,,32,,11,40,0.8,2010-2021,EURO2,0.3,-0.06,TRUE
02/05/2017,M,C,D2,Solar,2013,Diesel,4000,3,36146,27.7,2017,4,40,0.6925,2010-2021,EURO2,0.3,-0.09225,TRUE
05/09/2023 00:00,,C,,,2013,,,,,36.8,,10,40,0.92,2010-2021,EURO2,0.3,-0.024,TRUE
19/09/2023 00:00,,C,,,2013,,,,,31.2,,10,40,0.78,2010-2021,EURO2,0.3,-0.066,TRUE
26/10/2023 00:00,,C,,,2013,,,,,19,,10,40,0.475,2010-2021,EURO2,0.3,-0.1575,TRUE
20/03/2023 00:00,,C,,,2013,,,,,25,,10,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,2300,3,29574,16.6,2015,2,40,0.415,2010-2021,EURO2,0.3,-0.1755,TRUE
15/06/2022,M,C,D4,Solar,2013,Diesel,2500,25,142525,31.7,2022,9,40,0.7925,2010-2021,EURO2,0.3,-0.06225,TRUE
11/05/2024 00:00,,C,,,2013,,,,,24.1,,11,40,0.6025,2010-2021,EURO2,0.3,-0.11925,TRUE
25/10/2023 00:00,,C,,,2013,,,,,11.8,,10,40,0.295,2010-2021,EURO2,0.3,-0.2115,TRUE
11/12/2024 00:00,,C,,,2013,,,,,35,,11,40,0.875,2010-2021,EURO2,0.3,-0.0375,TRUE
15/01/2024 00:00,,C,,,2013,,,,,15,,11,40,0.375,2010-2021,EURO2,0.3,-0.1875,TRUE
25/08/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
15/11/2023 00:00,,C,,,2013,,,,,8,,10,40,0.2,2010-2021,EURO2,0.3,-0.24,TRUE
20/11/2023 00:00,,C,,,2013,,,,,25,,10,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
25/11/2023 00:00,,C,,,2013,,,,,21,,10,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
15/08/2023 00:00,,C,,,2013,,,,,33,,10,40,0.825,2010-2021,EURO2,0.3,-0.0525,TRUE
02/12/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
08/08/2024 00:00,,C,,,2013,,,,,26,,11,40,0.65,2010-2021,EURO2,0.3,-0.105,TRUE
08/10/2015,M,C,D2,Solar,2013,Diesel,2500,2.5,39831,15.4,2015,2,40,0.385,2010-2021,EURO2,0.3,-0.1845,TRUE
09/09/2023 00:00,,C,,,2013,,,,,32.6,,10,40,0.815,2010-2021,EURO2,0.3,-0.0555,TRUE
12/10/2023 00:00,,C,,,2013,,,,,24.71,,10,40,0.61775,2010-2021,EURO2,0.3,-0.114675,TRUE
19/12/2023 00:00,,C,,,2013,,,,,24.9,,10,40,0.6225,2010-2021,EURO2,0.3,-0.11325,TRUE
28/06/2024 00:00,,C,,,2013,,,,,9.03,,11,40,0.22575,2010-2021,EURO2,0.3,-0.232275,TRUE
02/01/2024 00:00,,C,,,2013,,,,,17.5,,11,40,0.4375,2010-2021,EURO2,0.3,-0.16875,TRUE
14/08/2023 00:00,,C,,,2013,,,,,37,,10,40,0.925,2010-2021,EURO2,0.3,-0.0225,TRUE
05/02/2024 00:00,,C,,,2013,,,,,25.6,,11,40,0.64,2010-2021,EURO2,0.3,-0.108,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,3300,3,678381,20.3,2015,2,40,0.5075,2010-2021,EURO2,0.3,-0.14775,TRUE
08/09/2023 00:00,,C,,,2013,,,,,33.2,,10,40,0.83,2010-2021,EURO2,0.3,-0.051,TRUE
26/04/2018,M,C,D2,Solar,2013,Diesel,2499,1.5,85284,74.4,2018,5,40,1.86,2010-2021,EURO2,0.3,0.258,FALSE
17/05/2017,M,C,D4,Solar,2013,Diesel,4000,43,37271,23.4,2017,4,40,0.585,2010-2021,EURO2,0.3,-0.1245,TRUE
02/09/2023 00:00,,C,,,2013,,,,,25.1,,10,40,0.6275,2010-2021,EURO2,0.3,-0.11175,TRUE
23/04/2024 00:00,,C,,,2013,,,,,25,,11,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
23/08/2023 00:00,,C,,,2013,,,,,3.9,,10,40,0.0975,2010-2021,EURO2,0.3,-0.27075,TRUE
12/05/2016,M,C,D2,Solar,2013,Diesel,2500,3.5,751046,34.1,2016,3,40,0.8525,2010-2021,EURO2,0.3,-0.04425,TRUE
18/09/2013,M,C,D2,Solar,2013,Diesel,3500,3.5,7600,47.4,2013,0,40,1.185,2010-2021,EURO2,0.3,0.0555,FALSE
12/12/2023 00:00,,C,,,2013,,,,,10,,10,40,0.25,2010-2021,EURO2,0.3,-0.225,TRUE
11/05/2016,M,C,D2,Solar,2013,Diesel,2800,3.5,3528,15,2016,3,40,0.375,2010-2021,EURO2,0.3,-0.1875,TRUE
17/10/2023 00:00,,C,,,2013,,,,,10.8,,10,40,0.27,2010-2021,EURO2,0.3,-0.219,TRUE
06/12/2023 00:00,,C,,,2013,,,,,38,,10,40,0.95,2010-2021,EURO2,0.3,-0.015,TRUE
07/03/2023 00:00,,C,,,2013,,,,,32,,10,40,0.8,2010-2021,EURO2,0.3,-0.06,TRUE
18/05/2016,M,C,D2,Solar,2013,Diesel,2500,3.5,24563,95,2016,3,40,2.375,2010-2021,EURO2,0.3,0.4125,FALSE
11/09/2024 00:00,,C,,,2013,,,,,15,,11,40,0.375,2010-2021,EURO2,0.3,-0.1875,TRUE
16/05/2017,M,C,D4,Solar,2013,Diesel,2500,25,65216,83.8,2017,4,40,2.095,2010-2021,EURO2,0.3,0.3285,FALSE
02/09/2023 00:00,,C,,,2013,,,,,8,,10,40,0.2,2010-2021,EURO2,0.3,-0.24,TRUE
04/09/2023 00:00,,C,,,2013,,,,,35.6,,10,40,0.89,2010-2021,EURO2,0.3,-0.033,TRUE
13/06/2023 00:00,,C,,,2013,,,,,7.5,,10,40,0.1875,2010-2021,EURO2,0.3,-0.24375,TRUE
18/05/2016,M,C,D2,Solar,2013,Diesel,4000,3.5,47632,58.5,2016,3,40,1.4625,2010-2021,EURO2,0.3,0.13875,FALSE
11/05/2016,M,C,D2,Solar,2013,Diesel,2800,3.5,2911,40.5,2016,3,40,1.0125,2010-2021,EURO2,0.3,0.00375,FALSE
18/05/2016,M,C,D2,Solar,2013,Diesel,2400,3.5,199444,96.7,2016,3,40,2.4175,2010-2021,EURO2,0.3,0.42525,FALSE
15/02/2024 00:00,,C,,,2013,,,,,22.6,,11,40,0.565,2010-2021,EURO2,0.3,-0.1305,TRUE
01/09/2023 00:00,,C,,,2013,,,,,5.5,,10,40,0.1375,2010-2021,EURO2,0.3,-0.25875,TRUE
25/09/2014,M,C,D4,Solar,2013,Diesel,2500,1500,3270,14.7,2014,1,40,0.3675,2010-2021,EURO2,0.3,-0.18975,TRUE
07/07/2023 00:00,,C,,,2013,,,,,21,,10,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
22/06/2022,M,C,D4,Solar,2013,Diesel,3908,40,180700,44.5,2022,9,40,1.1125,2010-2021,EURO2,0.3,0.03375,FALSE
20/05/2014,M,C,D4,Solar,2013,Diesel,2500,1000,712919,45.6,2014,1,40,1.14,2010-2021,EURO2,0.3,0.042,FALSE
02/05/2017,M,C,D2,Solar,2013,Diesel,2500,3,23413,50.5,2017,4,40,1.2625,2010-2021,EURO2,0.3,0.07875,FALSE
12/05/2016,M,C,D2,Solar,2013,Diesel,2500,3.5,27984,37.3,2016,3,40,0.9325,2010-2021,EURO2,0.3,-0.02025,TRUE
11/12/2023 00:00,,C,,,2013,,,,,16.9,,10,40,0.4225,2010-2021,EURO2,0.3,-0.17325,TRUE
26/10/2023 00:00,,C,,,2013,,,,,25.5,,10,40,0.6375,2010-2021,EURO2,0.3,-0.10875,TRUE
19/09/2013,M,C,D2,Solar,2013,Diesel,3000,3.5,5000,32,2013,0,40,0.8,2010-2021,EURO2,0.3,-0.06,TRUE
28/12/2023 00:00,,C,,,2013,,,,,29,,10,40,0.725,2010-2021,EURO2,0.3,-0.0825,TRUE
08/09/2023 00:00,,C,,,2013,,,,,37,,10,40,0.925,2010-2021,EURO2,0.3,-0.0225,TRUE
02/09/2023 00:00,,C,,,2013,,,,,27.3,,10,40,0.6825,2010-2021,EURO2,0.3,-0.09525,TRUE
20/07/2023 00:00,,C,,,2013,,,,,25,,10,40,0.625,2010-2021,EURO2,0.3,-0.1125,TRUE
11/06/2024 00:00,,C,,,2013,,,,,5,,11,40,0.125,2010-2021,EURO2,0.3,-0.2625,TRUE
06/07/2022,M,C,D4,Solar,2013,Diesel,2477,30,214165,93.2,2022,9,40,2.33,2010-2021,EURO2,0.3,0.399,FALSE
08/05/2024 00:00,,C,,,2013,,,,,92.2,,11,40,2.305,2010-2021,EURO2,0.3,0.3915,FALSE
26/06/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
23/05/2023 00:00,,C,,,2013,,,,,30,,10,40,0.75,2010-2021,EURO2,0.3,-0.075,TRUE
24/10/2023 00:00,,C,,,2013,,,,,24,,10,40,0.6,2010-2021,EURO2,0.3,-0.12,TRUE
09/02/2024 00:00,,C,,,2013,,,,,35.3,,11,40,0.8825,2010-2021,EURO2,0.3,-0.03525,TRUE
26/04/2016,M,C,D2,Solar,2013,Diesel,2500,3,79458,37.1,2016,3,40,0.9275,2010-2021,EURO2,0.3,-0.02175,TRUE
09/11/2023 00:00,,C,,,2013,,,,,15,,10,40,0.375,2010-2021,EURO2,0.3,-0.1875,TRUE
17/09/2013,M,C,D2,Solar,2013,Diesel,2500,1,116,78.2,2013,0,40,1.955,2010-2021,EURO2,0.3,0.2865,FALSE
06/10/2015,M,C,D2,Solar,2013,Diesel,2500,3,48639,11.3,2015,2,40,0.2825,2010-2021,EURO2,0.3,-0.21525,TRUE
05/09/2023 00:00,,C,,,2013,,,,,14.9,,10,40,0.3725,2010-2021,EURO2,0.3,-0.18825,TRUE
01/12/2023 00:00,,C,,,2013,,,,,33,,10,40,0.825,2010-2021,EURO2,0.3,-0.0525,TRUE
10/06/2023 00:00,,C,,,2013,,,,,21.9,,10,40,0.5475,2010-2021,EURO2,0.3,-0.13575,TRUE
25/01/2024 00:00,,C,,,2013,,,,,30,,11,40,0.75,2010-2021,EURO2,0.3,-0.075,TRUE
18/07/2018,M,C,D2,Solar,2013,Diesel,2800,3,41391,66.1,2018,5,40,1.6525,2010-2021,EURO2,0.3,0.19575,FALSE
18/11/2014,M,C,D2,Solar,2013,Diesel,2500,2,193126,55.1,2014,1,40,1.3775,2010-2021,EURO2,0.3,0.11325,FALSE
11/09/2023 00:00,,C,,,2013,,,,,62,,10,40,1.55,2010-2021,EURO2,0.3,0.165,FALSE
14/05/2024 00:00,,C,,,2013,,,,,12,,11,40,0.3,2010-2021,EURO2,0.3,-0.21,TRUE
28/08/2024 00:00,,C,,,2013,,,,,15.3,,11,40,0.3825,2010-2021,EURO2,0.3,-0.18525,TRUE
11/09/2013,M,C,D2,Solar,2013,Diesel,4000,1,4120,20.7,2013,0,40,0.5175,2010-2021,EURO2,0.3,-0.14475,TRUE
03/05/2017,M,C,D2,Solar,2013,Diesel,2500,3,48391,45.8,2017,4,40,1.145,2010-2021,EURO2,0.3,0.0435,FALSE
24/03/2025 00:00,,C,,,2013,,,,,29,,12,40,0.725,2010-2021,EURO2,0.3,-0.0825,TRUE
17/09/2024 00:00,,C,,,2013,,,,,21.5,,11,40,0.5375,2010-2021,EURO2,0.3,-0.13875,TRUE
17/09/2013,M,C,D2,Solar,2013,Diesel,2500,1,613,19.2,2013,0,40,0.48,2010-2021,EURO2,0.3,-0.156,TRUE
30/12/2023 00:00,,C,,,2013,,,,,21,,10,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
01/09/2023 00:00,,C,,,2013,,,,,11.35,,10,40,0.28375,2010-2021,EURO2,0.3,-0.214875,TRUE
16/01/2024 00:00,,C,,,2013,,,,,21,,11,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
21/02/2025 00:00,,C,,,2013,,,,,28,,12,40,0.7,2010-2021,EURO2,0.3,-0.09,TRUE
26/06/2019,M,C,D2,Solar,2013,Diesel,2500,2.5,16770,42.07,2019,6,40,1.05175,2010-2021,EURO2,0.3,0.015525,FALSE
18/07/2018,M,C,D2,Solar,2013,Diesel,2500,3,12799,40.1,2018,5,40,1.0025,2010-2021,EURO2,0.3,0.00075,FALSE
27/02/2023 00:00,,C,,,2013,,,,,21,,10,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
06/10/2015,M,C,D2,Solar,2013,Diesel,2000,3,43220,27,2015,2,40,0.675,2010-2021,EURO2,0.3,-0.0975,TRUE
11/03/2023 00:00,,C,,,2013,,,,,5.4,,10,40,0.135,2010-2021,EURO2,0.3,-0.2595,TRUE
22/06/2022,M,C,D4,Solar,2013,Diesel,3908,40,270175,27,2022,9,40,0.675,2010-2021,EURO2,0.3,-0.0975,TRUE
11/05/2016,M,C,D2,Solar,2013,Diesel,2500,3.5,464789,60.5,2016,3,40,1.5125,2010-2021,EURO2,0.3,0.15375,FALSE
24/11/2023 00:00,,C,,,2013,,,,,37,,10,40,0.925,2010-2021,EURO2,0.3,-0.0225,TRUE
12/09/2013,M,C,D2,Solar,2013,Diesel,4009,1,14014,51.1,2013,0,40,1.2775,2010-2021,EURO2,0.3,0.08325,FALSE
26/04/2016,M,C,D2,Solar,2013,Diesel,3300,3,12890,38.1,2016,3,40,0.9525,2010-2021,EURO2,0.3,-0.01425,TRUE
31/08/2023 00:00,,C,,,2013,,,,,23.5,,10,40,0.5875,2010-2021,EURO2,0.3,-0.12375,TRUE
10/02/2023 00:00,,C,,,2013,,,,,11.2,,10,40,0.28,2010-2021,EURO2,0.3,-0.216,TRUE
05/07/2022,M,C,D4,Solar,2013,Diesel,2800,30,756601,65.9,2022,9,40,1.6475,2010-2021,EURO2,0.3,0.19425,FALSE
05/11/2023 00:00,,C,,,2013,,,,,20,,10,40,0.5,2010-2021,EURO2,0.3,-0.15,TRUE
07/10/2015,M,C,D2,Solar,2013,Diesel,3400,3,5053,53.8,2015,2,40,1.345,2010-2021,EURO2,0.3,0.1035,FALSE
31/05/2023 00:00,,C,,,2013,,,,,13.5,,10,40,0.3375,2010-2021,EURO2,0.3,-0.19875,TRUE
31/08/2023 00:00,,C,,,2013,,,,,33.7,,10,40,0.8425,2010-2021,EURO2,0.3,-0.04725,TRUE
07/09/2023 00:00,,C,,,2013,,,,,11.8,,10,40,0.295,2010-2021,EURO2,0.3,-0.2115,TRUE
18/05/2017,M,C,D2,Solar,2013,Diesel,2500,3.5,15532,95.9,2017,4,40,2.3975,2010-2021,EURO2,0.3,0.41925,FALSE
03/06/2024 00:00,,C,,,2013,,,,,37,,11,40,0.925,2010-2021,EURO2,0.3,-0.0225,TRUE
28/11/2023 00:00,,C,,,2013,,,,,23,,10,40,0.575,2010-2021,EURO2,0.3,-0.1275,TRUE
06/10/2015,M,C,D2,Solar,2013,Diesel,2500,3,356635,19.9,2015,2,40,0.4975,2010-2021,EURO2,0.3,-0.15075,TRUE
03/12/2024 00:00,,C,,,2013,,,,,15.4,,11,40,0.385,2010-2021,EURO2,0.3,-0.1845,TRUE
03/09/2023 00:00,,C,,,2013,,,,,16,,10,40,0.4,2010-2021,EURO2,0.3,-0.18,TRUE
24/09/2014,M,C,D4,Solar,2013,Diesel,2500,1500,126677,29.8,2014,1,40,0.745,2010-2021,EURO2,0.3,-0.0765,TRUE
09/10/2023 00:00,,C,,,2013,,,,,6.1,,10,40,0.1525,2010-2021,EURO2,0.3,-0.25425,TRUE
29/09/2023 00:00,,C,,,2013,,,,,14,,10,40,0.35,2010-2021,EURO2,0.3,-0.195,TRUE
04/10/2023 00:00,,C,,,2013,,,,,32.9,,10,40,0.8225,2010-2021,EURO2,0.3,-0.05325,TRUE
19/04/2023 00:00,,C,,,2013,,,,,27.8,,10,40,0.695,2010-2021,EURO2,0.3,-0.0915,TRUE
31/08/2023 00:00,,C,,,2013,,,,,12.7,,10,40,0.3175,2010-2021,EURO2,0.3,-0.20475,TRUE
08/09/2023 00:00,,C,,,2013,,,,,22,,10,40,0.55,2010-2021,EURO2,0.3,-0.135,TRUE
22/10/2024 00:00,,C,,,2013,,,,,9.03,,11,40,0.22575,2010-2021,EURO2,0.3,-0.232275,TRUE
14/09/2023 00:00,,C,,,2013,,,,,21.9,,10,40,0.5475,2010-2021,EURO2,0.3,-0.13575,TRUE
21/10/2023 00:00,,C,,,2013,,,,,21,,10,40,0.525,2010-2021,EURO2,0.3,-0.1425,TRUE
