Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
06/09/2023 00:00,,C,,,1997,,,,,47.8,,26,50,0.956,<2010,NON_EURO,0.3,-0.0132,TRUE
07/10/2015,M,C,D1,Solar,1997,Diesel,3000,3,643676,45.4,2015,18,65,0.698461538,<2010,NON_EURO,0.3,-0.090461539,TRUE
08/09/2023 00:00,,C,,,1997,,,,,97,,26,50,1.94,<2010,NON_EURO,0.3,0.282,FALSE
19/09/2013,M,C,D1,Solar,1998,Diesel,3800,1,416632,98.3,2013,15,65,1.512307692,<2010,NON_EURO,0.3,0.153692308,FALSE
29/03/2022,M,C,D3,Solar,1998,Diesel,3298,30,21099,95.7,2022,24,65,1.472307692,<2010,NON_EURO,0.3,0.141692308,FALSE
05/09/2023 00:00,,C,,,1999,,,,,36.57,,24,50,0.7314,<2010,NON_EURO,0.3,-0.08058,TRUE
11/09/2013,M,C,D1,Solar,1999,Diesel,3298,1,199401,54.4,2013,14,65,0.836923077,<2010,NON_EURO,0.3,-0.048923077,TRUE
28/09/2024 00:00,,C,,,2000,,,,,12.46,,24,65,0.191692308,<2010,NON_EURO,0.3,-0.242492308,TRUE
24/09/2014,M,C,D3,Solar,2000,Diesel,2500,1500,10207,76.3,2014,14,65,1.173846154,<2010,NON_EURO,0.3,0.052153846,FALSE
11/05/2016,M,C,D1,Solar,2000,Diesel,4000,3.5,86221,48.3,2016,16,65,0.743076923,<2010,NON_EURO,0.3,-0.077076923,TRUE
11/09/2013,M,C,D1,Solar,2000,Diesel,2500,1,83092,63.3,2013,13,65,0.973846154,<2010,NON_EURO,0.3,-0.007846154,TRUE
21/09/2023 00:00,,C,,,2000,,,,,40,,23,50,0.8,<2010,NON_EURO,0.3,-0.06,TRUE
16/09/2023 00:00,,C,,,2000,,,,,12.4,,23,50,0.248,<2010,NON_EURO,0.3,-0.2256,TRUE
17/05/2016,M,C,D1,Solar,2000,Diesel,2500,3,23382,96.7,2016,16,65,1.487692308,<2010,NON_EURO,0.3,0.146307692,FALSE
17/05/2016,M,C,D1,Solar,2000,Diesel,4000,3,27326,98.7,2016,16,65,1.518461538,<2010,NON_EURO,0.3,0.155538461,FALSE
22/06/2024 00:00,,C,,,2000,,,,,10.9,,24,65,0.167692308,<2010,NON_EURO,0.3,-0.249692308,TRUE
18/05/2016,M,C,D1,Solar,2000,Diesel,4000,3.5,254325,73.9,2016,16,65,1.136923077,<2010,NON_EURO,0.3,0.041076923,FALSE
09/12/2023 00:00,,C,,,2000,,,,,43,,23,65,0.661538462,<2010,NON_EURO,0.3,-0.101538462,TRUE
24/09/2014,M,C,D3,Solar,2000,Diesel,2500,2540,199287,29,2014,14,65,0.446153846,<2010,NON_EURO,0.3,-0.166153846,TRUE
17/05/2017,M,C,D3,Solar,2000,Diesel,2500,20,109904,54.6,2017,17,65,0.84,<2010,NON_EURO,0.3,-0.048,TRUE
