Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK,,,,,,,
2005,16/10/2024,9.99,3192,19,NON_EURO,5.5,2200,1.816363636,1.450909091,<2010,0.2,0.163272727,0.090181818,FALSE,,,,,,,
2006,06/10/2023,5.46,3100,17,NON_EURO,5.5,2200,0.992727273,1.409090909,<2010,0.2,-0.001454545,0.081818182,FALSE,,,,,,,
2006,19/06/2024,0.75,3012,18,NON_EURO,5.5,2200,0.136363636,1.369090909,<2010,0.2,-0.172727273,0.073818182,FALSE,,,,,,,
2004,09/09/2023,8.08,2938,19,NON_EURO,5.5,2200,1.469090909,1.335454545,<2010,0.2,0.093818182,0.067090909,FALSE,,,,,,,
2005,27/11/2023,10.594,2859,18,NON_EURO,5.5,2200,1.926181818,1.299545455,<2010,0.2,0.185236364,0.059909091,FALSE,,,,,,,
2004,25/09/2023,6.73,2820,19,NON_EURO,5.5,2200,1.223636364,1.281818182,<2010,0.2,0.044727273,0.056363636,FALSE,,,,,,,
2006,05/06/2023,0.99,2780,17,NON_EURO,5.5,2200,0.18,1.263636364,<2010,0.2,-0.164,0.052727273,FALSE,,,,,,,
2006,03/12/2024,8.18,2750,18,NON_EURO,5.5,2200,1.487272727,1.25,<2010,0.2,0.097454545,0.05,FALSE,,,,,,,
2005,25/02/2025,9.13,2720,20,NON_EURO,5.5,2200,1.66,1.236363636,<2010,0.2,0.132,0.047272727,FALSE,,,,,,,
2003,21/08/2023,8.05,2623,20,NON_EURO,5.5,2200,1.463636364,1.192272727,<2010,0.2,0.092727273,0.038454545,FALSE,,,,,,,
2006,08/09/2023,0,2618,17,NON_EURO,5.5,2200,0,1.19,<2010,0.2,-0.2,0.038,FALSE,,,,,,,
2005,25/08/2023,0.5,2600,18,NON_EURO,5.5,2200,0.090909091,1.181818182,<2010,0.2,-0.181818182,0.036363636,FALSE,,,,,,,
2005,03/02/2024,1.45,2514,19,NON_EURO,5.5,2200,0.263636364,1.142727273,<2010,0.2,-0.147272727,0.028545455,FALSE,,,,,,,
2006,31/08/2023,7.39,2390,17,NON_EURO,5.5,2200,1.343636364,1.086363636,<2010,0.2,0.068727273,0.017272727,FALSE,,,,,,,
2005,31/08/2023,0.6,2390,18,NON_EURO,5.5,2200,0.109090909,1.086363636,<2010,0.2,-0.178181818,0.017272727,FALSE,,,,,,,
2003,12/09/2023,3.55,2350,20,NON_EURO,5.5,2200,0.645454545,1.068181818,<2010,0.2,-0.070909091,0.013636364,FALSE,,,,,,,
2005,01/09/2023,5.45,2320,18,NON_EURO,5.5,2200,0.990909091,1.054545455,<2010,0.2,-0.001818182,0.010909091,FALSE,,,,,,,
2006,04/09/2023,1.85,2285,17,NON_EURO,5.5,2200,0.336363636,1.038636364,<2010,0.2,-0.132727273,0.007727273,FALSE,,,,,,,
2006,25/10/2023,2.22,2261,17,NON_EURO,5.5,2200,0.403636364,1.027727273,<2010,0.2,-0.119272727,0.005545455,FALSE,,,,,,,
2006,02/09/2023,6.86,2256,17,NON_EURO,5.5,2200,1.247272727,1.025454545,<2010,0.2,0.049454545,0.005090909,FALSE,,,,,,,
2006,04/12/2023,0.7,2243,17,NON_EURO,5.5,2200,0.127272727,1.019545455,<2010,0.2,-0.174545455,0.003909091,FALSE,,,,,,,
1999,24/07/2024,9.25,2240,25,NON_EURO,5.5,2200,1.681818182,1.018181818,<2010,0.2,0.136363636,0.003636364,FALSE,,EURO3,31.66666667,4.033333333,,,
2006,28/08/2023,8.55,2229,17,NON_EURO,5.5,2200,1.554545455,1.013181818,<2010,0.2,0.110909091,0.002636364,FALSE,,,,,,,
